Year,Host,Team,Goals_Scored,Goals_Conceded,Goal_Differential,Points,Is_Host
2022,Qatar,Argentina,3,3,0,1,False
2022,Qatar,Croatia,2,1,1,3,False
2022,Qatar,France,2,0,2,3,False
2022,Qatar,Argentina,3,0,3,3,False
2022,Qatar,Morocco,1,0,1,3,False
2022,Qatar,England,1,2,-1,0,False
2022,Qatar,Croatia,1,1,0,1,False
2022,Qatar,Netherlands,2,2,0,1,False
2022,Qatar,Morocco,0,0,0,1,False
2022,Qatar,Portugal,6,1,5,3,False
2022,Qatar,Japan,1,1,0,1,False
2022,Qatar,Brazil,4,1,3,3,False
2022,Qatar,France,3,1,2,3,False
2022,Qatar,England,3,0,3,3,False
2022,Qatar,Netherlands,3,1,2,3,False
2022,Qatar,Argentina,2,1,1,3,False
2022,Qatar,Korea Republic,2,1,1,3,False
2022,Qatar,Ghana,0,2,-2,0,False
2022,Qatar,Cameroon,1,0,1,3,False
2022,Qatar,Serbia,2,3,-1,0,False
2022,Qatar,Canada,1,2,-1,0,False
2022,Qatar,Croatia,0,0,0,1,False
2022,Qatar,Costa Rica,2,4,-2,0,False
2022,Qatar,Japan,2,1,1,3,False
2022,Qatar,Australia,1,0,1,3,False
2022,Qatar,Tunisia,1,0,1,3,False
2022,Qatar,Saudi Arabia,1,2,-1,0,False
2022,Qatar,Poland,0,2,-2,0,False
2022,Qatar,Ecuador,1,2,-1,0,False
2022,Qatar,Netherlands,2,0,2,3,False
2022,Qatar,IR Iran,0,1,-1,0,False
2022,Qatar,Wales,0,3,-3,0,False
2022,Qatar,Cameroon,3,3,0,1,False
2022,Qatar,Korea Republic,2,3,-1,0,False
2022,Qatar,Brazil,1,0,1,3,False
2022,Qatar,Portugal,2,0,2,3,False
2022,Qatar,Japan,0,1,-1,0,False
2022,Qatar,Belgium,0,2,-2,0,False
2022,Qatar,Croatia,4,1,3,3,False
2022,Qatar,Spain,1,1,0,1,False
2022,Qatar,Tunisia,0,1,-1,0,False
2022,Qatar,Poland,2,0,2,3,False
2022,Qatar,France,2,1,1,3,False
2022,Qatar,Argentina,2,0,2,3,False
2022,Qatar,Wales,0,2,-2,0,False
2022,Qatar,Qatar,1,3,-2,0,True
2022,Qatar,Netherlands,1,1,0,1,False
2022,Qatar,England,0,0,0,1,False
2022,Qatar,Switzerland,1,0,1,3,False
2022,Qatar,Uruguay,0,0,0,1,False
2022,Qatar,Portugal,3,2,1,3,False
2022,Qatar,Brazil,2,0,2,3,False
2022,Qatar,Morocco,0,0,0,1,False
2022,Qatar,Germany,1,2,-1,0,False
2022,Qatar,Spain,7,0,7,3,False
2022,Qatar,Belgium,1,0,1,3,False
2022,Qatar,Argentina,1,2,-1,0,False
2022,Qatar,Denmark,0,0,0,1,False
2022,Qatar,Mexico,0,0,0,1,False
2022,Qatar,France,4,1,3,3,False
2022,Qatar,England,6,2,4,3,False
2022,Qatar,Senegal,0,2,-2,0,False
2022,Qatar,United States,1,1,0,1,False
2022,Qatar,Qatar,0,2,-2,0,True
2018,Russia,France,4,2,2,3,False
2018,Russia,Belgium,2,0,2,3,False
2018,Russia,Croatia,2,1,1,3,False
2018,Russia,France,1,0,1,3,False
2018,Russia,Sweden,0,2,-2,0,False
2018,Russia,Russia,2,2,0,1,True
2018,Russia,Uruguay,0,2,-2,0,False
2018,Russia,Brazil,1,2,-1,0,False
2018,Russia,Sweden,1,0,1,3,False
2018,Russia,Colombia,1,1,0,1,False
2018,Russia,Brazil,2,0,2,3,False
2018,Russia,Belgium,3,2,1,3,False
2018,Russia,Spain,1,1,0,1,False
2018,Russia,Croatia,1,1,0,1,False
2018,Russia,France,4,3,1,3,False
2018,Russia,Uruguay,2,1,1,3,False
2018,Russia,Japan,0,1,-1,0,False
2018,Russia,Senegal,0,1,-1,0,False
2018,Russia,England,0,1,-1,0,False
2018,Russia,Panama,1,2,-1,0,False
2018,Russia,Korea Republic,2,0,2,3,False
2018,Russia,Mexico,0,3,-3,0,False
2018,Russia,Switzerland,2,2,0,1,False
2018,Russia,Serbia,0,2,-2,0,False
2018,Russia,Australia,0,2,-2,0,False
2018,Russia,Denmark,0,0,0,1,False
2018,Russia,Iceland,1,2,-1,0,False
2018,Russia,Nigeria,1,2,-1,0,False
2018,Russia,Saudi Arabia,2,1,1,3,False
2018,Russia,Uruguay,3,0,3,3,False
2018,Russia,Spain,2,2,0,1,False
2018,Russia,IR Iran,1,1,0,1,False
2018,Russia,England,6,1,5,3,False
2018,Russia,Japan,2,2,0,1,False
2018,Russia,Poland,0,3,-3,0,False
2018,Russia,Belgium,5,2,3,3,False
2018,Russia,Korea Republic,1,2,-1,0,False
2018,Russia,Germany,2,1,1,3,False
2018,Russia,Brazil,2,0,2,3,False
2018,Russia,Nigeria,2,0,2,3,False
2018,Russia,Serbia,1,2,-1,0,False
2018,Russia,Denmark,1,1,0,1,False
2018,Russia,France,1,0,1,3,False
2018,Russia,Argentina,0,3,-3,0,False
2018,Russia,Portugal,1,0,1,3,False
2018,Russia,Uruguay,1,0,1,3,False
2018,Russia,IR Iran,0,1,-1,0,False
2018,Russia,Colombia,1,2,-1,0,False
2018,Russia,Poland,1,2,-1,0,False
2018,Russia,Russia,3,1,2,3,True
2018,Russia,Sweden,1,0,1,3,False
2018,Russia,Belgium,3,0,3,3,False
2018,Russia,Tunisia,1,2,-1,0,False
2018,Russia,Costa Rica,0,1,-1,0,False
2018,Russia,Germany,0,1,-1,0,False
2018,Russia,Brazil,1,1,0,1,False
2018,Russia,France,2,1,1,3,False
2018,Russia,Argentina,1,1,0,1,False
2018,Russia,Peru,0,1,-1,0,False
2018,Russia,Croatia,2,0,2,3,False
2018,Russia,Egypt,0,1,-1,0,False
2018,Russia,Morocco,0,1,-1,0,False
2018,Russia,Portugal,3,3,0,1,False
2018,Russia,Russia,5,0,5,3,True
2014,Brazil,Germany,1,0,1,3,False
2014,Brazil,Brazil,0,3,-3,0,True
2014,Brazil,Netherlands,0,0,0,1,False
2014,Brazil,Brazil,1,7,-6,0,True
2014,Brazil,Argentina,1,0,1,3,False
2014,Brazil,Netherlands,0,0,0,1,False
2014,Brazil,France,0,1,-1,0,False
2014,Brazil,Brazil,2,1,1,3,True
2014,Brazil,Argentina,1,0,1,3,False
2014,Brazil,Belgium,2,1,1,3,False
2014,Brazil,France,2,0,2,3,False
2014,Brazil,Germany,2,1,1,3,False
2014,Brazil,Netherlands,2,1,1,3,False
2014,Brazil,Costa Rica,1,1,0,1,False
2014,Brazil,Brazil,1,1,0,1,True
2014,Brazil,Colombia,2,0,2,3,False
2014,Brazil,United States,0,1,-1,0,False
2014,Brazil,Portugal,2,1,1,3,False
2014,Brazil,Korea Republic,0,1,-1,0,False
2014,Brazil,Algeria,1,1,0,1,False
2014,Brazil,Bosnia and Herzegovina,3,1,2,3,False
2014,Brazil,Nigeria,2,3,-1,0,False
2014,Brazil,Honduras,0,3,-3,0,False
2014,Brazil,Ecuador,0,0,0,1,False
2014,Brazil,Costa Rica,0,0,0,1,False
2014,Brazil,Italy,0,1,-1,0,False
2014,Brazil,Japan,1,4,-3,0,False
2014,Brazil,Greece,2,1,1,3,False
2014,Brazil,Australia,0,3,-3,0,False
2014,Brazil,Netherlands,2,0,2,3,False
2014,Brazil,Croatia,1,3,-2,0,False
2014,Brazil,Cameroon,1,4,-3,0,False
2014,Brazil,Belgium,1,0,1,3,False
2014,Brazil,Korea Republic,2,4,-2,0,False
2014,Brazil,United States,2,2,0,1,False
2014,Brazil,Argentina,1,0,1,3,False
2014,Brazil,Germany,2,2,0,1,False
2014,Brazil,Nigeria,1,0,1,3,False
2014,Brazil,Italy,0,1,-1,0,False
2014,Brazil,Switzerland,2,5,-3,0,False
2014,Brazil,Honduras,1,2,-1,0,False
2014,Brazil,Colombia,2,1,1,3,False
2014,Brazil,Uruguay,2,1,1,3,False
2014,Brazil,Japan,0,0,0,1,False
2014,Brazil,Australia,2,3,-1,0,False
2014,Brazil,Spain,0,2,-2,0,False
2014,Brazil,Cameroon,0,4,-4,0,False
2014,Brazil,Belgium,2,1,1,3,False
2014,Brazil,Brazil,0,0,0,1,True
2014,Brazil,Russia,1,1,0,1,False
2014,Brazil,Germany,4,0,4,3,False
2014,Brazil,IR Iran,0,0,0,1,False
2014,Brazil,Ghana,1,2,-1,0,False
2014,Brazil,Switzerland,2,1,1,3,False
2014,Brazil,France,3,0,3,3,False
2014,Brazil,Argentina,2,1,1,3,False
2014,Brazil,Colombia,3,0,3,3,False
2014,Brazil,Uruguay,1,3,-2,0,False
2014,Brazil,England,1,2,-1,0,False
2014,Brazil,Côte d'Ivoire,2,1,1,3,False
2014,Brazil,Mexico,1,0,1,3,False
2014,Brazil,Spain,1,5,-4,0,False
2014,Brazil,Chile,3,1,2,3,False
2014,Brazil,Brazil,3,1,2,3,True
2010,South Africa,Netherlands,0,1,-1,0,False
2010,South Africa,Uruguay,2,3,-1,0,False
2010,South Africa,Germany,0,1,-1,0,False
2010,South Africa,Uruguay,2,3,-1,0,False
2010,South Africa,Argentina,0,4,-4,0,False
2010,South Africa,Paraguay,0,1,-1,0,False
2010,South Africa,Netherlands,2,1,1,3,False
2010,South Africa,Uruguay,1,1,0,1,False
2010,South Africa,Paraguay,0,0,0,1,False
2010,South Africa,Spain,1,0,1,3,False
2010,South Africa,Netherlands,2,1,1,3,False
2010,South Africa,Brazil,3,0,3,3,False
2010,South Africa,Germany,4,1,3,3,False
2010,South Africa,Argentina,3,1,2,3,False
2010,South Africa,Uruguay,2,1,1,3,False
2010,South Africa,United States,1,2,-1,0,False
2010,South Africa,Portugal,0,0,0,1,False
2010,South Africa,Korea DPR,0,3,-3,0,False
2010,South Africa,Chile,1,2,-1,0,False
2010,South Africa,Switzerland,0,0,0,1,False
2010,South Africa,Paraguay,0,0,0,1,False
2010,South Africa,Slovakia,3,2,1,3,False
2010,South Africa,Denmark,1,3,-2,0,False
2010,South Africa,Cameroon,1,2,-1,0,False
2010,South Africa,Slovenia,0,1,-1,0,False
2010,South Africa,United States,1,0,1,3,False
2010,South Africa,Ghana,0,1,-1,0,False
2010,South Africa,Australia,2,1,1,3,False
2010,South Africa,Mexico,0,1,-1,0,False
2010,South Africa,France,1,2,-1,0,False
2010,South Africa,Nigeria,2,2,0,1,False
2010,South Africa,Greece,0,2,-2,0,False
2010,South Africa,Portugal,7,0,7,3,False
2010,South Africa,Chile,1,0,1,3,False
2010,South Africa,Spain,2,0,2,3,False
2010,South Africa,Slovakia,0,2,-2,0,False
2010,South Africa,Italy,1,1,0,1,False
2010,South Africa,Brazil,3,1,2,3,False
2010,South Africa,Netherlands,1,0,1,3,False
2010,South Africa,Ghana,1,1,0,1,False
2010,South Africa,Cameroon,1,2,-1,0,False
2010,South Africa,Germany,0,1,-1,0,False
2010,South Africa,Slovenia,2,2,0,1,False
2010,South Africa,England,0,0,0,1,False
2010,South Africa,Argentina,4,1,3,3,False
2010,South Africa,Greece,2,1,1,3,False
2010,South Africa,France,0,2,-2,0,False
2010,South Africa,Honduras,0,1,-1,0,False
2010,South Africa,Spain,0,1,-1,0,False
2010,South Africa,South Africa,0,3,-3,0,True
2010,South Africa,New Zealand,1,1,0,1,False
2010,South Africa,Côte d'Ivoire,0,0,0,1,False
2010,South Africa,Brazil,2,1,1,3,False
2010,South Africa,Netherlands,2,0,2,3,False
2010,South Africa,Japan,1,0,1,3,False
2010,South Africa,Italy,1,1,0,1,False
2010,South Africa,Algeria,0,1,-1,0,False
2010,South Africa,Serbia,0,1,-1,0,False
2010,South Africa,Germany,4,0,4,3,False
